,Name,Critic_Score,Global_Sales
499,Scribblenauts Unmasked: A DC Comics Adventure,71,0.1
495,Taiko Drum Master: Tokumori!,70,0.1
496,The Walking Dead: Survival Instinct,38,0.1
497,Fatal Frame: Maiden of Black Water,67,0.1
498,Deus Ex: Human Revolution,90,0.1
490,James Bond 007: Legends,50,0.1
491,Rodea the Sky Soldier,45,0.1
492,Marvel Avengers: Battle for Earth,50,0.1
493,Tom Clancy's Splinter Cell: Blacklist,75,0.1
494,LEGO Batman 2: DC Super Heroes,77,0.1
484,Your Shape: Fitness Evolved 2013,76,0.1
485,Transformers: Prime,56,0.1
486,Watch Dogs,62,0.1
487,Game Party: Champions,24,0.1
488,NBA 2K13,85,0.1
489,WipeOut 3 The Game,40,0.1
482,Darksiders II,85,0.2
483,Lego Star Wars: The Force Awakens,74,0.2
479,Tekken Tag Tournament 2,83,0.2
480,Ninja Gaiden 3,58,0.2
481,Skylanders Imaginators,76,0.2
475,Guitar Hero Live,84,0.2
476,Injustice: Gods Among Us,82,0.2
477,Resident Evil: Revelations,80,0.2
478,Taiko no Tatsujin: Wii U Version!,78,0.2
474,Disney's Planes,51,0.2
473,LEGO The Hobbit,72,0.2
470,Game & Wario,81,0.2
471,Epic Mickey 2: The Power of Two,57,0.2
472,Madden NFL 13,75,0.2
469,LEGO Marvel's Avengers,69,0.2
468,Shin Megami Tensei x Fire Emblem,81,0.3
465,Need for Speed: Most Wanted,82,0.3
466,Sing Party,60,0.3
467,Mass Effect 3,94,0.3
464,NES Remix,71,0.3
462,Borderlands: The Pre-Sequel,75,0.3
463,Assassin's Creed IV: Black Flag,86,0.3
461,Kingdoms of Amalur: Reckoning,81,0.3
457,Batman: Arkham Origins,74,0.3
458,Batman: Arkham Origins,68,0.3
459,Sonic Boom: Rise of Lyric,32,0.3
460,The Settlers 7: Paths to a Kingdom,79,0.3
453,Might & Magic Heroes VI,67,0.3
454,Dead Space 2,87,0.3
455,World of Warcraft: Legion,88,0.3
456,Fable III,75,0.3
452,Medal of Honor: Warfighter,55,0.3
448,Call of Duty: Ghosts,69,0.3
449,Mario & Sonic at the Rio 2016 Olympic Games,65,0.3
450,Company of Heroes 2,80,0.3
451,The Sims 3: Town Life Stuff,60,0.3
444,Middle-Earth: Shadow of Mordor,84,0.4
445,Assassin's Creed III,85,0.4
446,Football Manager 2016,81,0.4
447,LEGO Marvel's Avengers,71,0.4
437,Batman: Arkham City,85,0.4
438,Need for Speed: The Run,69,0.4
439,Sid Meier's Civilization: Beyond Earth,81,0.4
440,Star Fox: Zero,69,0.4
441,Zoo Tycoon (2013),68,0.4
442,Watch Dogs 2,83,0.4
443,ESPN: Sports Connection,31,0.4
431,Skylanders Giants,80,0.4
432,Just Dance 4,66,0.4
433,Need for Speed: Hot Pursuit,86,0.4
434,Rage,79,0.4
435,Skylanders: Trap Team,78,0.4
436,Scribblenauts: Unlimited,73,0.4
428,Battlefield 1,88,0.4
429,Saints Row: The Third,84,0.4
430,Wii Sports Club,68,0.4
425,Mass Effect 2,94,0.4
426,Dark Souls III,87,0.4
427,Sonic Lost World,63,0.4
421,The Wonderful 101,78,0.4
422,FIFA 14,87,0.4
423,FIFA Soccer 13,86,0.4
424,Mafia II,77,0.4
411,Animal Crossing: Amiibo Festival,46,0.4
412,EA Sports UFC 2,76,0.4
413,LEGO Dimensions,80,0.4
414,NHL 15,59,0.4
415,Tom Clancy's The Division,79,0.4
416,Call of Duty: Black Ops II,81,0.4
417,Call of Duty: Advanced Warfare,78,0.4
418,Rocksmith 2014,89,0.4
419,Duke Nukem Forever,54,0.4
420,Dragon Quest X,67,0.4
410,Paper Mario: Color Splash,75,0.4
407,Borderlands: The Handsome Collection,80,0.4
408,Lego Batman 3: Beyond Gotham,74,0.4
409,Max Payne 3,87,0.4
405,Mario Tennis Ultra Smash,58,0.4
406,Disney Infinity 2.0: Marvel Super Heroes,74,0.4
401,Just Dance 2014,71,0.5
402,Lego Batman 3: Beyond Gotham,70,0.5
403,Wolfenstein: The New Order,81,0.5
404,Watch Dogs,77,0.5
396,Football Manager 2015,80,0.5
397,The Sims 3: Ambitions,74,0.5
398,Thief (2014),67,0.5
399,Disney Infinity 3.0,80,0.5
400,The Sims 3: Outdoor Living Stuff,53,0.5
391,Rock Band 4,79,0.5
392,World of Warcraft: Warlords of Draenor,87,0.5
393,FIFA Soccer 13,69,0.5
394,FIFA 12,89,0.5
395,EA Sports UFC,70,0.5
386,Puzzle & Dragons Z + Super Mario Bros. Edition,73,0.5
387,Mad Max (2015),72,0.5
388,Skylanders: SuperChargers,87,0.5
389,Plants vs. Zombies: Garden Warfare 2,80,0.5
390,NHL 16,80,0.5
376,Ridge Racer 3D,75,0.5
377,Super Monkey Ball 3D,55,0.5
378,Sonic Lost World,59,0.5
379,Resident Evil: The Mercenaries 3D,65,0.5
380,Epic Mickey: Power of Illusion,63,0.5
381,Pokemon Art Academy ,76,0.5
382,Medal of Honor,72,0.5
383,Asphalt 3D,43,0.5
384,Steel Diver,58,0.5
385,Bravely Second: End Layer,81,0.5
375,Theatrhythm: Final Fantasy,78,0.5
372,Sonic & All-Stars Racing Transformed,78,0.5
373,Alien: Isolation,78,0.5
374,Dishonored,91,0.5
370,LEGO Jurassic World,71,0.5
371,Kirby and the Rainbow Curse,73,0.5
362,Inazuma Eleven GO,75,0.5
363,LEGO Dimensions,62,0.5
364,Just Dance 2015,70,0.5
365,The LEGO Movie Videogame,69,0.5
366,Overwatch,91,0.5
367,Mario & Sonic at the Rio 2016 Olympic Games,60,0.5
368,StarCraft II: Legacy of the Void,88,0.5
369,Batman: Arkham City,91,0.5
361,Final Fantasy Explorers,69,0.5
357,Guitar Hero Live,81,0.6
358,Assassin's Creed: Unity,70,0.6
359,Assassin's Creed II,86,0.6
360,Star Wars Battlefront (2015),73,0.6
352,Xenoblade Chronicles,86,0.6
353,Titanfall,86,0.6
354,Minecraft: Story Mode,77,0.6
355,Yokai Sangokushi,76,0.6
356,Quantum Break,77,0.6
347,Skylanders: Spyro's Adventure,82,0.6
348,Titanfall 2,87,0.6
349,WWE 2K15,56,0.6
350,Just Dance 2016,73,0.6
351,Rune Factory 4,78,0.6
344,Deus Ex: Human Revolution,90,0.6
345,Skylanders SWAP Force,89,0.6
346,Shin Megami Tensei IV,83,0.6
342,WWE 2K16,72,0.6
343,Assassin's Creed: Brotherhood,88,0.6
337,Kinect Sports Rivals,60,0.6
338,Disney Infinity,71,0.6
339, Frozen: Olaf's Quest,52,0.6
340,Just Dance 2014,72,0.6
341,Total War: Shogun 2,90,0.6
334,Cooking Mama 4: Kitchen Magic!,56,0.6
335,Scribblenauts: Unlimited,73,0.6
336,Tomb Raider (2013),86,0.6
330,LEGO Jurassic World,70,0.6
331,LEGO Pirates of the Caribbean: The Video Game,71,0.6
332,Mafia III,67,0.6
333,Toshochu: Run for Money,37,0.6
323,Dragon Quest Monsters Joker 3,77,0.6
324,Dragon Age II,82,0.6
325,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,70,0.6
326,Far Cry 4,80,0.6
327,The Sims 3: Generations,70,0.6
328,Angry Birds Trilogy,62,0.6
329,Crysis 3,76,0.6
317,Assassin's Creed IV: Black Flag,84,0.6
318,The LEGO Movie Videogame,68,0.6
319,Rayman 3D,61,0.6
320,Football Manager 2014,85,0.6
321,The Crew,64,0.6
322,Evolve,74,0.6
313,LEGO Jurassic World,70,0.7
314,Rocksmith 2014,89,0.7
315,Disney Infinity 2.0: Marvel Super Heroes,74,0.7
316,Farming Simulator 17,64,0.7
308,The Sims 3: High-End Loft Stuff,63,0.7
309,Diablo III,88,0.7
310,Napoleon: Total War,81,0.7
311,Rayman Legends,92,0.7
312,BioShock Infinite,94,0.7
306,RIFT,84,0.7
307,The Evil Within,79,0.7
304,Minecraft,77,0.7
305,Wolfenstein: The New Order,79,0.7
298,Monster Hunter Tri,84,0.7
299,The LEGO Movie Videogame,71,0.7
300,Need for Speed (2015),66,0.7
301,Plants vs. Zombies: Garden Warfare,76,0.7
302,Need for Speed Rivals,75,0.7
303,The Sims: Medieval,77,0.7
296,Skylanders: Trap Team,86,0.7
297,Call of Duty: Ghosts,68,0.7
295,XCOM: Enemy Unknown,89,0.7
291,Total War: Rome II,76,0.7
292,Persona Q: Shadow of the Labyrinth,83,0.7
293,The Witcher 3: Wild Hunt,93,0.7
294,Battlefield: Bad Company 2,87,0.7
286,Dragon Age: Inquisition,85,0.7
287,Style Savvy: Trendsetters,76,0.7
288,LEGO Marvel's Avengers,71,0.7
289,Just Dance 2015,75,0.7
290,LEGO Dimensions,80,0.7
279,Rhythm Heaven: The Best+,83,0.7
280,Assassin's Creed: Revelations,80,0.7
281,Final Fantasy X/X-2 HD Remaster,85,0.7
282,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,77,0.7
283,The Elder Scrolls V: Skyrim,82,0.7
284,Crysis 2,86,0.7
285,LEGO Marvel Super Heroes,82,0.7
272,Professor Layton and the Azran Legacy,81,0.8
273,Nintendo Presents: New Style Boutique 2 - Fashion Forward,78,0.8
274,Titanfall 2,89,0.8
275,Metal Gear Solid V: The Phantom Pain,95,0.8
276,LEGO Batman 2: DC Super Heroes,72,0.8
277,Pro Evolution Soccer 2015,82,0.8
278,Final Fantasy XIV: A Realm Reborn,86,0.8
267,Bayonetta 2,91,0.8
268,Doom (2016),85,0.8
269,The Sims 3,52,0.8
270,Portal 2,95,0.8
271,Mario & Luigi: Paper Jam,76,0.8
266,Mario & Sonic at the Sochi 2014 Olympic Winter Games,55,0.8
263,Dragon Quest Monsters 2,77,0.8
264,Pro Evolution Soccer 2016,87,0.8
265,Rare Replay,84,0.8
262,Professor Layton vs Phoenix Wright: Ace Attorney,79,0.8
261,Madden NFL 25,73,0.8
260,Thief (2014),67,0.8
259,Tales of the Abyss,75,0.8
258,Xenoblade Chronicles X,84,0.8
257,Wii Fit U,72,0.9
255,Dragon Quest VIII: Journey of the Cursed King,85,0.9
256,Guitar Hero Live,80,0.9
254,Monster Strike 3DS,79,0.9
251,Far Cry: Primal,77,0.9
252,Resident Evil: Revelations,82,0.9
253,Borderlands: The Handsome Collection,82,0.9
250,MLB 16: The Show,85,0.9
244,Street Fighter V,77,0.9
245,Just Cause 3,71,0.9
246,LEGO Jurassic World,70,0.9
247,The Elder Scrolls Online,71,0.9
248,Madden NFL 25,74,0.9
249,LEGO Marvel Super Heroes,61,0.9
241,Harvest Moon 3D: A New Beginning,74,0.9
242,Injustice: Gods Among Us,80,0.9
243,NBA 2K14,86,0.9
239,Disney Magical World,71,0.9
240,MLB 15: The Show,80,0.9
233,EA Sports UFC 2,79,0.9
234,Dragon Age: Inquisition,85,0.9
235,Kirby: Planet Robobot,81,0.9
236,Lego Batman 3: Beyond Gotham,73,0.9
237,Assassin's Creed III,80,0.9
238,Borderlands 2,89,0.9
231,Star Fox 64 3D,81,0.9
232,Rise of the Tomb Raider,88,0.9
229,Mario Tennis Open,69,1
230,PilotWings Resort,71,1
224,Far Cry 3,88,1
225,Evolve,76,1
226,Farming Simulator 2013,65,1
227,Dragon Quest Monsters: Terry's Wonderland 3D,75,1
228,The Witcher 2: Assassins of Kings,88,1
223,Mass Effect 3,89,1
222,Final Fantasy Type-0,72,1
219,Rayman Legends,90,1
220,ZombiU,77,1
221,Pokken Tournament,76,1
217,NBA 2K17,90,1
218,Sonic Generations,66,1
216,The Legend of Zelda: Twilight Princess HD,86,1
215,EA Sports UFC,70,1.1
213,Overwatch,91,1.1
214,LEGO Marvel Super Heroes,83,1.1
212,Forza Horizon 3,91,1.1
211,Project CARS,83,1.1
210,LEGO City Undercover,80,1.1
208,Pikmin 3,87,1.1
209,Dragon Ball: XenoVerse,69,1.1
207,The Legend of Zelda: Tri Force Heroes,73,1.1
203,Watch Dogs 2,83,1.1
204,LEGO Star Wars III: The Clone Wars,67,1.1
205,Alien: Isolation,79,1.1
206,Fantasy Life,73,1.1
200,Pokemon Rumble Blast,56,1.1
201,Sunset Overdrive,81,1.1
202,Naruto Shippuden: Ultimate Ninja Storm 4,79,1.1
198,Football Manager 2013,86,1.2
199,WWE 2K15,62,1.2
197,FIFA 14,88,1.2
194,Mad Max (2015),69,1.2
195,Grand Theft Auto V,96,1.2
196,Fallout: New Vegas,84,1.2
193,Mario & Sonic at the London 2012 Olympic Games,66,1.2
191,Captain Toad: Treasure Tracker,81,1.2
192,Destiny: The Taken King,89,1.2
190,Farming Simulator 2015,54,1.2
187,Super Street Fighter IV: 3D Edition,85,1.2
188,WWE 2K16,73,1.2
189,Battlefield: Hardline,71,1.2
185,Madden NFL 17,83,1.2
186,Hyrule Warriors,76,1.2
184,Pokemon Super Mystery Dungeon,69,1.3
183,Football Manager 2011,85,1.3
180,Kid Icarus: Uprising,83,1.3
181,Pokemon Mystery Dungeon: Gates to Infinity,59,1.3
182,Metal Gear Solid V: Ground Zeroes,75,1.3
179,The Elder Scrolls Online,77,1.3
177,Dying Light,74,1.3
178,Fallout 4,84,1.3
175,Yoshi's Woolly World,78,1.3
176,Assassin's Creed Syndicate,78,1.3
174,The Witcher 3: Wild Hunt,91,1.3
172,Yokai Watch 3,80,1.3
173,The Elder Scrolls V: Skyrim,81,1.3
171,Tom Clancy's Rainbow Six: Siege,74,1.3
168,Middle-Earth: Shadow of Mordor,87,1.4
169,Battlefield 4,81,1.4
170,Gears of War 4,84,1.4
163,Yoshi's New Island,64,1.4
164,Bravely Default: Flying Fairy,85,1.4
165,Ryse: Son of Rome,60,1.4
166,Mortal Kombat X,86,1.4
167,Rise of the Tomb Raider,86,1.4
161,Tomb Raider (2013),87,1.4
162,Forza Horizon 2,86,1.4
160,SimCity (2013),64,1.4
159,Anno 2070,83,1.4
158,NBA 2K14,85,1.5
157,Dragon Quest VII: Warriors of Eden,81,1.5
156,LEGO City Undercover,62,1.5
154,Batman: Arkham Knight,85,1.5
155,Doom (2016),85,1.5
152,Puzzle & Dragons,73,1.5
153,Football Manager 2012,84,1.5
150,Donkey Kong Country: Tropical Freeze,83,1.5
151,Final Fantasy XIV: A Realm Reborn,86,1.5
149,Call of Duty: Black Ops II,74,1.5
148,Ratchet & Clank (2016),85,1.5
147,Wolfenstein: The New Order,79,1.6
144,Dead Rising 3,78,1.6
145,Watch Dogs,78,1.6
146,Madden NFL 15,80,1.6
142,Kingdom Hearts 3D: Dream Drop Distance,75,1.6
143,Mario Party 10,66,1.6
141,LEGO Marvel Super Heroes,83,1.6
140,Far Cry 4,82,1.6
139,Dark Souls III,89,1.7
138,Until Dawn,79,1.7
137,StarCraft II: Heart of the Swarm,86,1.7
135,Sid Meier's Civilization V,90,1.7
136, Fire Emblem Fates,87,1.7
133,The Sims 3: Late Night Expansion Pack,74,1.7
134,No Man's Sky,71,1.7
130,The Crew,61,1.7
131,NBA 2K15,82,1.7
132,Call of Duty: Modern Warfare 3,78,1.7
129,Knack,54,1.7
128,The Order: 1886,63,1.7
125,Madden NFL 17,82,1.8
126,The Elder Scrolls Online,74,1.8
127,Wii Party U,65,1.8
122,The Evil Within,75,1.8
123,The Legend of Zelda: The Wind Waker,90,1.8
124,Professor Layton and the Mask of Miracle,82,1.8
121,Forza Motorsport 6,87,1.8
120,Mafia III,68,1.8
118,Diablo III,90,1.8
119,World of Warcraft: Mists of Pandaria,82,1.8
117,Kirby: Triple Deluxe,80,1.8
116,Just Cause 3,73,1.9
115,NBA 2K17,88,1.9
114,Donkey Kong Country Returns,83,1.9
113,LittleBigPlanet 3,79,1.9
112,Mario Party: Island Tour,57,1.9
111,Destiny: The Taken King,86,1.9
110,Need for Speed Rivals,80,2
108,Fire Emblem: Awakening,92,2
109,Dragon Age: Inquisition,89,2
107,Battlefield 4,81,2
106,DriveClub,71,2.1
104,World of Warcraft: Cataclysm,90,2.1
105,Mario & Luigi: Dream Team,81,2.1
102,Dying Light,74,2.1
103,Yokai Watch,76,2.1
101,Battlefield: Hardline,73,2.1
100,Overwatch,90,2.1
99,Tom Clancy's The Division,80,2.2
98,FIFA 15,82,2.2
97,Madden NFL 15,81,2.2
96,Forza Motorsport 5,79,2.2
95,Tom Clancy's Rainbow Six: Siege,73,2.2
94,Assassin's Creed IV: Black Flag,76,2.2
93,New Super Luigi U,77,2.2
92,Battlefield 1,87,2.3
91,Far Cry: Primal,76,2.3
90,Yokai Watch Busters,67,2.3
89,Paper Mario: Sticker Star,75,2.3
88,Guild Wars 2,90,2.3
86,The Legend of Zelda: Majora's Mask 3D,89,2.3
87,NBA 2K16,86,2.3
84,Call of Duty: Infinite Warfare,78,2.4
85,Madden NFL 16,84,2.4
83,Need for Speed (2015),66,2.4
82,NBA 2K15,83,2.5
81,Bloodborne,92,2.5
80,FIFA 17,84,2.7
79,Yokai Watch 2 Shinuchi,70,2.7
78,Killzone: Shadow Fall,73,2.7
77,Minecraft,88,2.8
75,Battlefield 3,89,2.8
76,Mortal Kombat X,83,2.8
73,inFAMOUS: Second Son,80,2.8
74,Monster Hunter Tri,79,2.8
72,Assassin's Creed IV: Black Flag,83,2.9
71,Call of Duty: Ghosts,78,2.9
70,Titanfall,86,3
68,Star Wars: The Old Republic,85,3
69,Middle-Earth: Shadow of Mordor,84,3
67,FIFA 14,87,3
65,Animal Crossing: Happy Home Designer,66,3.1
66,The Sims 4,70,3.1
64,The Legend of Zelda: A Link Between Worlds,91,3.1
63,Super Mario Maker,88,3.2
62,Halo: The Master Chief Collection,85,3.2
61,Madden NFL 16,83,3.2
60,FIFA 16,84,3.3
58,Yokai Watch 2 Ganso/Honke,72,3.3
59,Gears of War: Ultimate Edition,82,3.3
57,Monster Hunter X,80,3.3
56,Destiny,75,3.4
55,Assassin's Creed Syndicate,76,3.4
54,Metal Gear Solid V: The Phantom Pain,93,3.4
53,Monster Hunter 4,86,3.4
52,Assassin's Creed: Unity,72,3.5
51,Battlefield 4,85,3.6
50,Star Wars Battlefront (2015),75,3.7
49,Tom Clancy's The Division,80,3.8
48,Call of Duty: Ghosts,78,3.8
47,Nintendogs + cats,71,3.9
45,The Elder Scrolls V: Skyrim,94,3.9
46,NBA 2K16,87,3.9
44,Monster Hunter 4 Ultimate,86,3.9
43,Batman: Arkham Knight,87,4
42,Assassin's Creed: Unity,70,4
41,The Witcher 3: Wild Hunt,92,4
40,Far Cry 4,85,4
39,Watch Dogs,80,4.1
38,Battlefield 1,88,4.1
37,Fallout 4,88,4.2
35,Super Mario 3D World,93,4.3
36,Minecraft,89,4.3
34,The Legend of Zelda: Ocarina of Time,94,4.3
33,Nintendo Land,77,4.4
32,Splatoon,81,4.4
31,Call of Duty: Infinite Warfare,77,4.5
30,Halo 5: Guardians,84,4.5
29,Luigi's Mansion: Dark Moon,86,4.6
28,Uncharted: The Nathan Drake Collection,86,4.6
27,The Last of Us,95,4.7
26,StarCraft II: Wings of Liberty,93,4.8
25,Super Smash Bros. for Wii U and 3DS,92,4.9
24,Diablo III,88,5.1
23,New Super Mario Bros. U,84,5.2
22,Tomodachi Life,71,5.2
21,Call of Duty: Advanced Warfare,81,5.3
20,Uncharted 4: A Thief's End,93,5.4
19,Grand Theft Auto V,97,5.5
18,Destiny,76,5.6
17,FIFA 15,82,6.1
16,Mario Kart 8,88,7.1
15,Pokemon Sun/Moon,87,7.1
14,Fallout 4,87,7.2
13,Call of Duty: Black Ops 3,81,7.4
12,Super Smash Bros. for Wii U and 3DS,92,7.6
11,FIFA 17,85,7.6
10,Call of Duty: Advanced Warfare,83,7.7
9,Star Wars Battlefront (2015),73,8
8,FIFA 16,82,8.6
7,Animal Crossing: New Leaf,88,9.2
6,New Super Mario Bros. 2,78,9.9
5,Super Mario 3D Land,90,10.8
4,Pokemon Omega Ruby/Pokemon Alpha Sapphire,83,11.7
3,Grand Theft Auto V,97,12.6
2,Mario Kart 7,85,12.7
1,Pokemon X/Pokemon Y,87,14.6
0,Call of Duty: Black Ops 3,81,14.6